"Type","Items Needed","GNDs Requested","Number","Unit Cost LKR ","Total Cost LKR ","Contribution from line agency GoSL","Final cost to LA GoSL LKR "
"Paddy","Supply of parachute Trays","","2500","80","200000","75%","150000"
"","Supply of certified seed paddy (bu)","","5","4200","21000","100%","21000"
"","Soil testing","","10","290","2900","100%","2900"
"","Supply of Bio films (1 Liter) Bottles","","10","900","9000","100%","9000"
"","supply of Cruiser as seed Treatments","","5","900","4500","100%","4500"
"Supply of Agricultural Machineries and Equipmentâ€™s","Supply of Agri Fence","","50","7500","375000","75%","281250"
"","Supply of Electric fence","","20","40000","800000","75%","600000"
"","Supply of Water Pumps (Robin)","","5","70000","350000","75%","262500"
"","Supply of Brush Cutters
","","5","30000","150000","75%","112500"
"","Supply of Knapsac Sprayers (16L)","","2","30000","60000","75%","45000"
"Improvement of Cultivation practices of Bitter gourd","
Soil testing","","7","290","2030","100%","2030"
"","supply of Plant covers (0.8""x200m","","20","15000","300000","100%","300000"
"","supply of fruit covers","","35","2400","84000","100%","84000"
"","Supply of Insect Proof nets (3mx50m)","","21","30000","630000","75%","472500"
"","supply of Cruiser as seed Treatments (5g Packs)","","10","900","9000","100%","9000"
"","Supply of Bio films (500ml) bottles","","20","1250","25000","100%","25000"
"","Supply of Trichoderma (1-liter bottles)","","10","1000","10000","100%","10000"
"","Supply of Lakgrow neem 100ml bottles","","20","1000","20000","100%","20000"
"Improvement of Cultivation Practices of Chilli (10 Farmers with 1/4 ac)","Supply of chilli hybrid seeds (MICH hy 1)","","500g","130000","65000","100%","65000"
"","Supply of Seedling trays with 72 holes","","100","150","15000","100%","15000"
"","sprinkler irrigation system for 1/4 ac Demonstration","","1","100000","100000","75%","75000"
"","Supply of Poly mulch roles (1.2m*400m)","","2","20000","40000","100%","40000"
"","Supply of Trichoderma (1-liter bottles)","","30","1000","30000","100%","30000"
"","Supply of sticky Traps (blue and Yellow) 20 Pack of 6x8 inches","","10","12000","120000","100%","120000"
"","Supply of Insect Proof nets (3mx50m)","","30","30000","900000","75%","675000"
"","Supply of Lakgrow neem 100ml bottles","","20","1000","20000","100%","20000"
"Improvement of Cultivation Practices of Bean (10 Farmers with 1/4 ac)","Introduction of new Bean variety Kekulu / HoRDI Pokuru Supply Quality Seeds) kg","","50","2500","125000","100%","125000"
"","supply of Cruiser as seed Treatments (5g Packs)","","50","900","45000","100%","45000"
"","Supply of Rhizobium Inoculum 100g packs","","50","400","20000","100%","20000"
"","Supply of Insect Proof nets (3mx50m)","","12","30000","360000","75%","270000"
"","Supply of Bio films (500ml) bottles","","20","1250","25000","100%","25000"
"","Supply of Trichoderma (1 litter bottles)","","10","1000","10000","100%","10000"
"","Supply of Lakgrow neem 100ml bottles","","20","1000","20000","100%","20000"
"Improvement of Cultivation practices of Cabbage (10 Farmers with 1/4 ac)","Soil testing
","","10","290","2900","100%","2900"
"","Supply of Quality seeds (Variety Volcano or Oxilus)","","250g","250000","62500","100%","62500"
"","Supply of Neem (400ml bottles)","","20","750","15000","100%","15000"
"Constructions of 1000 sq feets Poly Tunnels
","","","5","700000","3500000","75%","2625000"
"Export Crops","Coffee","Uduwela Udugama East","Plants 1000","30","30,000","100%","30,000"
"","Pepper","Ethulgama North, Uduwela Pallegama West, Wathuliyadda, Uduwela Pallegama East, Monarangala, Nehiniwela, Ratemulla, Uduwela Udugama West, Uduwelawatta, Puliyadda, Galthenna, Uduwela Pallegama South","Plants 12,970","40","518,800","100%","518,800"
"","Vanila","Ethulgama North, Uduwela Udugama West, Uduwelawatta, Galthenna","Plants 1,475","40","59,000","100%","59,000"
"","Clove","Ratemulla, Galthenna","Plants 800","130","104,000","100%","104,000"
"","Ginger","Ethulgama North, Nehiniwela, Ratemulla, Uduwela Udugama West, Uduwelawatta, Galthenna, Uduwela Pallegama South","Plants 7,390/ 60kg ginger seeds","18","133,020","100%","133,020"
"Livestock","No of cow","Uduwela Pallegama East - 1, Monarangala- 9, Nehiniwela- 1, Ratemulla-3, Uduwela Udugama East- 25, Uduwela Udugama West- 20","59","250,000","14,750,000","50%","7,375,000"
"","No of goat","Ethulgama North- 6, Ratemulla- 20, Uduwela Udugama West- 50, Puliyadda- 10","86","40,000","3,440,000","50%","1,720,000"
"","No of chicks","Ethulgama North- 100, Uduwela Pallegama West- 100, Wathuliyadda- 60, Uduwela Pallegama East- 50, Monarangala- 600, Nehiniwela- 150, Ratemulla- 100, Uduwela Udugama East- 300, Uduwela Udugama West- 250, Uduwelawatta - 500, Puliyadda - 100, Galthenna - 130, Uduwela Pallegama South -150","2,590","1,500","3,885,000","50%","1,942,500"
"","Incubator","Monarangala - 1, Ethulgama West- 1, Uduelawatta-2","4","60,000","240,000","50%","120,000"
"","No of sheds - cow","Uduwela Pallegama West- 5, Nehiniwela- 3, Ethulgama West- 10, Uduwela Udugama East-5, Uduwelawatta- 5","23","300,000","6,900,000","50%","3,450,000"
"","No of sheds - goat","Ethulgama north - 6, Uduwela Udagama West - 2","8","150,000","1,200,000","50%","600,000"
"Value added products","Bee keeping (Box 4000/= & 4000/= bees)","Ethulgama North- 2, Nehiniwela- 2, Ethulgama West - 2, Puliyadda- 3","21","8,000","168,000","75%","126,000"
"","Black Pepper making machines (Balancing kit)","Ratemulla- 1, Uduwela Udagama West - 2","3","10,000","30,000","50%","15,000"
"","White pepper production machines","Ethulgama North - 1, Ratemulla- 1, Uduwela Udagama West- 2, Galthenna- 1","5","55,000","275,000","50%","137,500"
"","","","","","","",""
"","Curry powder grinding","Ethulgama North- 1, Wathuliyadda- 1, Uduwela Pallegama East- 1, Ethulgama West- 1, Uduwelawatta- 1, Galthenna- 1","5","120,000","600,000","50%","300,000"
"","Jackfruit drying machines","Nehiniwela- 1, Ratemulla- 1","2","850,000","1,700,000","50%","850,000"
"","Ginger slicing machine","Uduwela Udagama West- 1","1","150,000","150,000","50%","75,000"
"","Areca nut slicing machines","Uduwelawatta- 1","1","150,000","150,000","50%","75,000"
"Total Cost","","","","","","","24,302,400"
