ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,Download,geojson,Year,Title,Abstract,Data Type,Keywords,Geographic Extent,Scale,Temporal Coverage,Publication Date,Version,Data Provider,Contact Name,Email Address,Phone Number,Address,Data Source,Accuracy,Limitations,Resolution,Coordinate System,Datum,Vertical Datum,Access Constraints,Use Constraints,Data Format,File Size,Download Link,Process Steps,Metadata Creator,Metadata Date,Metadata Standard,Related Publications,Supplementary Info
1,MWS-003,Base Layers,Administration,District Boundary,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/Districts/EXD_01_ADM_ DIS_KANDY _poly_v1.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MWS-003,Base Layers,Administration,DSD Boundary,,SD,Raw,Yes,Vector,,https://docs.google.com/spreadsheets/d/1j_3yvrEsH5C0DnXzB-6eZzT0OWNMf-7Q/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/DSD/EXD_01_ADM_DSD_PATHAHEWAHETA.geojson,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MWS-003,Base Layers,Administration,GN Boundary,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/GND/MWS_003.geojson,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MWS-003,Base Layers,Land cover,Land cover,,LUPPD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/04_LND/LND_LULC/LND_LULC_MWS_003.geojson,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MWS-003,Base Layers,Reservation,Environmental protection area,,FD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_FRC_TF/RSV_FRC_TF_MWS_003.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MWS-003,Base Layers,Reservation,Reserved forest,,FD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_FRC_RF/RSV_FRC_RF_UMW.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MWS-003,Base Layers,Reservation,Conservation forest,,FD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_FRC_CNF/RSV_FRC_CNF_UMW.geojson,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MWS-003,Base Layers,Reservation,Wild life boundary,,DWC,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_DWC/RSV_DWC_UMW.geojson,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MWS-003,Detail Layers,Topography,Spote height,,MASL,Raw,Yes,Vector,,google drive,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MWS-003,Detail Layers,Topography,Contour,,MASL,Raw,Yes,Vector,,google drive,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,UMW,Raster Layers,Topography,DEM,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Elevation.png,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UMW,Raster Layers,Topography,Slope,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/slope.png,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MWS-003,Base Layers,Soil,Soil type,,NRMC,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/05_SOL/SOIL_SLT/SOIL_SLT_MWS_003.geojson,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MWS-003,Base Layers,Soil,Agro-ecological zone,,NRMC,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/10_MET/Agro_Eco_Zone/Agro_Eco_Zone_MWS_003.geojson,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MWS-003,Base Layers,Risk and Hazard,Landslide hazard zone,,NBRO,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/11_HZR/HZR/ED_11_HZR_MWS_003.geojson,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,UMW,Raster Layers,Risk and Hazard,Soil erosion hazard,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,UMW,Raster Layers,Location ,Building dencity ,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MWS-003,Base Layers,Demography,Population,,RP,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/07_SED/SED_PPL/SED_PPL_MWS_003.geojson,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MWS-003,Detail Layers,Hydrology,Stream network,,IWMI-IWWRMP,Derive,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/HYD_DRN/HYD_DRN_MWS_003.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MWS-003,Detail Layers,Hydrology,Mini watershed,,IWMI-IWWRMP,Derive,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/UMW/MWS_Boundary_Updated_UMC_Names.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MWS-003,Detail Layers,Location ,Building,,SD,Raw,Yes,Vector,,google drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MWS-003,Detail Layers,Water features,Water features-point,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Pt/HY_Hydro_Pt_MWS_003.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MWS-003,Detail Layers,Water features,Water features-line,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Li/HY_Hydro_Li_MWS_003.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MWS-003,Detail Layers,Water features,Water features-polygon,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Pg/HY_Hydro_Pg_MWS_003.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MWS-003,Detail Layers,Transpotation,Road,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/08_TRP/TR_Transport/TR_Transport_Pt_MWS_003.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MWS-003,Detail Layers,Location ,Places,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/09_PLC/CA_Toponym/CA_Toponym_Pt_MWS_003.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MWS-003,Proposal Layers,Soil and Water Conservation,Soil and water conservation,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_003/Table 6_1.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MWS-003,Proposal Layers,Water Resource Management,Domestic water supply and water source protection,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_003/Table 6_12.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MWS-003,Proposal Layers,Water Resource Management,Minor irrigation related proposals,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_003/Table 6_13.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MWS-003,Proposal Layers,Water Quality Improvement,Water quality improvement,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_003/Table 6_14.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MWS-003,Proposal Layers,Stream Reservation,Stream Reservation,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_003/Table 6_18.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MWS-003,Proposal Layers,Soil and Water Conservation,Lanslides,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_003/Table 6_2.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MWS-003,Proposal Layers,Minor Tanks Restoration,Minor tanks,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_003/Table 6_3.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MWS-003,Proposal Layers,Product and Entrepreneurships Developments,Pecoe Trail,,,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/UMW/PekoeTrail_Li.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MWS-003,Proposal Layers,Product and Entrepreneurships Developments,Tourist attract places,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/UMW/Tourism_Places.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MWS-003,Proposal Layers,Product and Entrepreneurships Developments,Economic hubs,,IWMI-IWWRMP,Field,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/UMW/Economic_Hubs.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,UMW,Environmental Indicators,Station,Rainfall,,MD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/10_MET/RF_St/MET_RF_St.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,UMW,Environmental Indicators,Station,Temporature,,MD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/10_MET/Temp/MET_Temp_St.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,UMW,Environmental Indicators,Station,Evoporation,,MD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/10_MET/EV_St/MET_EV_St.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,UMW,Environmental Indicators,Station,Water Quality,,CEA,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/12_WQ/Level%202/pH.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,UMW,Environmental Indicators,Rainfall,Annual Rainfall,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_sum.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Jan,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Feb,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Mar,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Apr,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - May,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Jun,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Jul,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Aug,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Sep,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Oct,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_10.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Nov,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_11.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,UMW,Environmental Indicators,Rainfall,Monthly Rainfall - Dec,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_12.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Jan,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Feb,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Mar,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Apr,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- May,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Jun,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Jul,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Aug,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Sep,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Oct,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_10.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Nov,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_11.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,UMW,Environmental Indicators,Temporature - Max,Monthly  Temporature - Max- Dec,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_12.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Jan,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Feb,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Mar,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Apr,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- May,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Jun,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Jul,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Aug,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Sep,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Oct,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_10.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Nov,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_11.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,UMW,Environmental Indicators,Temporature - Min,Monthly  Temporature - Min- Dec,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_12.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,UMW,Environmental Indicators,Evoporation,Monthly evoporation - Jan,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,UMW,Environmental Indicators,Evoporation,Monthly evoporation - Feb,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
